venue_area_id;city_idx
394;172
399;9
69;83
344;13
60;72
1;27
2;20
539;300
402;32
13;2
523;59
340;33
63;201
38;12
544;141
652;357
528;63
242;405
34;1
51;138
543;115
29;4
562;129
449;53
396;67
8;3
25;11
522;118
316;248
17;18
40;21
14;74
343;60
53;8
136;100
373;62
374;70
20;7
41;16
395;61
22;35
549;51
650;436
27;14
94;45
637;406
346;34
540;212
177;162
651;207
23;6
218;15
179;317
547;189
519;102
28;10
79;220
446;19
187;336
86;168
15;26
45;149
194;307
178;84
520;86
535;58
386;41
184;319
176;30
664;73
144;98
16;96
569;288
315;254
205;249
345;112
73;46
165;185
353;127
527;130
676;302
408;101
199;241
12;167
174;37
556;169
97;194
309;52
24;56
44;5
164;80
455;104
98;269
288;386
100;174
667;219
591;244
62;49
400;57
46;99
341;50
5;213
674;333
160;170
37;126
404;69
532;113
308;147
156;75
299;282
175;55
95;196
39;68
321;81
190;376
157;217
210;200
54;369
381;91
226;146
390;38
558;117
143;28
357;144
454;54
618;193
87;322
561;137
197;158
385;148
148;17
19;22
560;191
366;106
364;47
151;25
337;42
153;128
125;136
405;23
3;152
294;451
159;90
347;24
590;270
78;214
516;97
530;78
537;44
150;103
680;440
653;255
319;176
102;232
317;289
498;375
526;160
318;297
359;370
382;226
453;107
223;209
600;368
351;43
534;142
71;139
406;109
352;131
76;380
68;95
546;331
234;348
42;239
186;491
67;153
193;344
387;252
663;210
348;92
375;227
43;221
170;88
559;184
52;79
342;262
171;48
66;266
568;166
169;76
142;237
266;192
518;211
661;253
401;114
26;203
570;342
596;204
173;121
363;392
552;385
82;273
61;110
77;199
172;71
278;165
668;140
339;180
659;230
450;36
336;159
392;65
152;66
358;312
349;178
391;93
88;85
145;133
147;40
350;157
362;277
149;31
393;116
36;224
639;411
407;82
91;190
657;240
252;245
451;29
541;374
360;349
413;64
323;228
677;309
378;272
96;268
679;325
127;328
117;415
592;306
118;321
47;334
203;470
553;332
244;402
146;105
75;275
70;258
580;474
383;431
355;303
298;236
434;234
277;151
554;182
74;276
213;361
388;358
545;89
672;132
563;187
84;366
135;425
529;327
320;379
607;143
608;183
191;135
671;408
275;134
354;177
229;216
615;120
235;246
594;393
154;108
566;175
536;94
202;256
106;360
322;337
361;181
593;364
237;471
272;391
35;400
92;285
258;155
310;305
433;274
55;423
195;296
602;383
4;394
435;416
270;265
589;412
550;432
48;173
30;243
133;318
669;372
302;124
188;39
232;283
107;398
196;205
606;231
314;399
123;251
228;188
6;345
115;445
65;419
130;377
181;291
411;362
286;122
620;222
619;171
155;111
140;161
59;292
376;186
64;340
208;123
283;218
332;397
265;286
233;197
666;163
227;125
163;156
525;242
538;257
605;395
80;225
85;365
72;290
129;381
201;235
571;450
225;233
542;351
517;77
389;298
58;261
617;119
437;508
670;299
259;420
276;208
158;441
398;206
448;424
93;330
338;87
50;150
577;521
610;293
250;350
384;352
162;341
137;280
49;359
333;238
616;396
138;346
531;164
90;459
220;215
409;311
328;223
658;442
99;313
324;263
325;271
289;278
185;195
260;438
101;301
231;154
168;323
412;145
655;504
105;448
139;304
81;339
108;492
113;426
597;279
625;525
646;401
121;480
582;509
306;335
586;455
219;264
264;198
551;260
645;363
110;462
397;259
122;413
111;326
436;481
613;308
524;247
682;403
633;463
57;284
403;343
641;367
614;267
290;532
104;433
410;387
595;404
216;427
611;457
367;250
335;472
217;500
182;389
565;310
271;353
673;371
212;435
377;229
273;202
192;347
365;179
379;320
643;324
329;409
623;421
109;533
297;410
274;314
612;356
200;407
356;287
180;315
279;505
621;429
628;510
214;388
380;316
425;484
304;468
662;338
209;281
249;373
572;475
675;464
254;382
622;498
189;329
372;465
326;384
167;428
635;294
224;443
114;417
371;489
243;437
564;378
548;452
119;485
443;354
269;511
166;486
609;478
444;493
221;453
312;506
141;430
307;512
238;446
603;414
632;355
642;434
467;494
654;456
573;490
198;418
368;466
598;534
515;458
161;473
311;439
660;295
116;479
281;454
599;422
665;390
458;549
490;529
483;541
629;517
626;495
647;550
447;476
327;501
634;460
631;469
456;496
438;551
439;482
584;542
112;543
640;461
636;518
604;447
334;487
206;449
630;519
583;477
207;535
624;483
644;444
132;552
442;522
445;544
557;467
585;499
567;513
649;530
313;507
215;488
236;536
370;520
131;557
482;558
287;515
441;497
417;545
120;514
204;526
601;502
485;559
331;560
423;527
476;561
648;537
284;538
305;546
303;523
581;553
496;562
330;547
426;503
627;524
638;528
678;516
656;563
506;564
103;548
683;565
282;531
369;566
685;554
684;539
501;567
689;568
687;555
296;569
681;540
421;556
472;570
503;571
